Dados Covid-19 por cidade:

{casos | mortes | por 100k/Hab | tx morte (%)}
Nacip Raydan: 13 | 1 | 403.73 | 7.69%
Nanuque: 968 | 30 | 2,375.46 | 3.10%
Naque: 70 | 1 | 1,000.57 | 1.43%
Natalândia: 7 | 0 | 211.42 | 0.00%
Natércia: 46 | 0 | 972.52 | 0.00%
Nazareno: 15 | 1 | 174.26 | 6.67%
Nepomuceno: 73 | 0 | 272.70 | 0.00%
Ninheira: 19 | 0 | 184.56 | 0.00%
Nova Belém: 20 | 1 | 626.96 | 5.00%
Nova Era: 113 | 1 | 642.85 | 0.88%
Nova Lima: 2,472 | 20 | 2,605.15 | 0.81%
Nova Módica: 53 | 2 | 1,472.22 | 3.77%
Nova Ponte: 183 | 8 | 1,177.23 | 4.37%
Nova Porteirinha: 55 | 2 | 733.33 | 3.64%
Nova Resende: 95 | 1 | 568.08 | 1.05%
Nova Serrana: 497 | 12 | 483.97 | 2.41%
Nova União: 27 | 0 | 471.62 | 0.00%
Novo Cruzeiro: 83 | 2 | 264.91 | 2.41%
Novo Oriente de Minas: 106 | 2 | 985.59 | 1.89%
Novorizonte: 1 | 0 | 18.87 | 0.00%
Olaria: 4 | 0 | 228.96 | 0.00%
Olhos-d'Água: 3 | 0 | 49.21 | 0.00%
Oliveira: 218 | 2 | 522.94 | 0.92%
Oliveira Fortes: 1 | 0 | 46.88 | 0.00%
Olímpio Noronha: 13 | 0 | 466.45 | 0.00%
Onça de Pitangui: 15 | 0 | 476.49 | 0.00%
Oratórios: 13 | 0 | 279.27 | 0.00%
Orizânia: 15 | 2 | 187.08 | 13.33%
Ouro Branco: 298 | 4 | 754.43 | 1.34%
Ouro Fino: 149 | 3 | 442.94 | 2.01%
Ouro Preto: 642 | 27 | 864.29 | 4.21%
Ouro Verde de Minas: 11 | 2 | 185.37 | 18.18%
Padre Carvalho: 33 | 0 | 517.40 | 0.00%
Padre Paraíso: 225 | 0 | 1,116.40 | 0.00%
Pai Pedro: 12 | 1 | 197.08 | 8.33%
Paineiras: 5 | 0 | 111.46 | 0.00%
Pains: 34 | 1 | 410.48 | 2.94%
Paiva: 2 | 0 | 130.80 | 0.00%
Palma: 33 | 2 | 498.79 | 6.06%
Palmópolis: 7 | 2 | 127.11 | 28.57%
Papagaios: 148 | 1 | 944.24 | 0.68%
Paracatu: 1,318 | 15 | 1,414.80 | 1.14%
Paraguaçu: 44 | 0 | 204.53 | 0.00%
Paraisópolis: 122 | 7 | 578.67 | 5.74%
Paraopeba: 215 | 4 | 876.12 | 1.86%
Pará de Minas: 377 | 7 | 401.20 | 1.86%
Passa Quatro: 157 | 6 | 960.60 | 3.82%
Passa Tempo: 33 | 1 | 408.21 | 3.03%
Passa-Vinte: 9 | 0 | 441.39 | 0.00%
Passabém: 6 | 0 | 363.86 | 0.00%
Passos: 663 | 15 | 578.14 | 2.26%
Patis: 4 | 0 | 66.98 | 0.00%
Patos de Minas: 1,850 | 40 | 1,213.21 | 2.16%
Patrocínio: 1,110 | 26 | 1,223.05 | 2.34%
Patrocínio do Muriaé: 27 | 3 | 475.02 | 11.11%
Paula Cândido: 20 | 0 | 208.96 | 0.00%
Paulistas: 1 | 0 | 20.70 | 0.00%
Pavão: 31 | 2 | 366.86 | 6.45%
Pedra Azul: 110 | 9 | 452.23 | 8.18%
Pedra Bonita: 23 | 1 | 324.08 | 4.35%
Pedra Dourada: 8 | 0 | 319.49 | 0.00%
Pedra do Anta: 4 | 0 | 131.06 | 0.00%
Pedra do Indaiá: 45 | 1 | 1,132.93 | 2.22%
Pedralva: 13 | 1 | 116.12 | 7.69%
Pedras de Maria da Cruz: 11 | 0 | 90.86 | 0.00%
Pedrinópolis: 47 | 1 | 1,292.98 | 2.13%
Pedro Leopoldo: 444 | 13 | 690.96 | 2.93%
Pequeri: 1 | 0 | 30.12 | 0.00%
Pequi: 12 | 1 | 272.36 | 8.33%
Perdigão: 65 | 2 | 564.92 | 3.08%
Perdizes: 252 | 2 | 1,558.63 | 0.79%
Perdões: 137 | 1 | 640.49 | 0.73%
Periquito: 80 | 5 | 1,174.74 | 6.25%
Pescador: 22 | 0 | 517.40 | 0.00%
Peçanha: 19 | 1 | 108.32 | 5.26%
Piau: 5 | 0 | 181.95 | 0.00%
Piedade de Caratinga: 42 | 1 | 490.31 | 2.38%
Piedade de Ponte Nova: 31 | 0 | 748.79 | 0.00%
Piedade do Rio Grande: 29 | 2 | 644.87 | 6.90%
Piedade dos Gerais: 60 | 3 | 1,204.34 | 5.00%
Pimenta: 17 | 0 | 196.30 | 0.00%
Pingo-d'Água: 44 | 2 | 890.51 | 4.55%
Pintópolis: 3 | 1 | 39.96 | 33.33%
Piracema: 35 | 1 | 546.11 | 2.86%
Pirajuba: 121 | 1 | 1,951.93 | 0.83%
Piranga: 57 | 8 | 323.39 | 14.04%
Piranguinho: 73 | 0 | 849.23 | 0.00%
Piranguçu: 25 | 1 | 456.87 | 4.00%
Pirapetinga: 283 | 4 | 2,632.07 | 1.41%
Pirapora: 642 | 10 | 1,137.73 | 1.56%
Piraúba: 36 | 1 | 333.74 | 2.78%
Pitangui: 222 | 3 | 793.17 | 1.35%
Piumhi: 316 | 8 | 910.90 | 2.53%
Planura: 157 | 3 | 1,293.99 | 1.91%
Pocrane: 70 | 2 | 830.17 | 2.86%
Pompéu: 263 | 2 | 826.73 | 0.76%
Ponte Nova: 318 | 3 | 532.29 | 0.94%
Ponto Chique: 4 | 0 | 93.87 | 0.00%
Ponto dos Volantes: 77 | 3 | 635.26 | 3.90%
Porteirinha: 318 | 1 | 838.92 | 0.31%
Porto Firme: 115 | 5 | 1,019.59 | 4.35%
Poté: 126 | 4 | 761.10 | 3.17%
Pouso Alegre: 1,840 | 31 | 1,220.67 | 1.68%
Pouso Alto: 14 | 0 | 235.69 | 0.00%
Poço Fundo: 73 | 1 | 434.76 | 1.37%
Poços de Caldas: 821 | 20 | 490.45 | 2.44%
Prados: 16 | 1 | 177.17 | 6.25%
Prata: 258 | 6 | 926.19 | 2.33%
Pratinha: 16 | 0 | 444.07 | 0.00%
Pratápolis: 95 | 4 | 1,104.27 | 4.21%
Presidente Bernardes: 4 | 0 | 74.50 | 0.00%
Presidente Juscelino: 39 | 1 | 1,071.13 | 2.56%
Presidente Kubitschek: 12 | 0 | 399.73 | 0.00%
Presidente Olegário: 136 | 4 | 694.83 | 2.94%
Prudente de Morais: 32 | 0 | 298.15 | 0.00%
Quartel Geral: 4 | 0 | 112.26 | 0.00%
Raposos: 297 | 3 | 1,816.07 | 1.01%
Raul Soares: 59 | 1 | 248.30 | 1.69%
Recreio: 42 | 2 | 399.35 | 4.76%
Reduto: 68 | 0 | 950.52 | 0.00%
Resende Costa: 30 | 0 | 260.87 | 0.00%
Resplendor: 298 | 3 | 1,712.94 | 1.01%
Ressaquinha: 5 | 0 | 103.99 | 0.00%
Riachinho: 27 | 2 | 331.86 | 7.41%
Riacho dos Machados: 26 | 1 | 274.23 | 3.85%
Ribeirão Vermelho: 17 | 0 | 421.52 | 0.00%
Ribeirão das Neves: 3,142 | 117 | 938.31 | 3.72%
Rio Acima: 201 | 1 | 1,949.19 | 0.50%
Rio Casca: 139 | 2 | 1,024.77 | 1.44%
Rio Doce: 6 | 0 | 229.89 | 0.00%
Rio Espera: 15 | 1 | 274.02 | 6.67%
Rio Manso: 63 | 3 | 1,080.25 | 4.76%
Rio Novo: 17 | 2 | 189.97 | 11.76%
Rio Paranaíba: 393 | 6 | 3,191.75 | 1.53%
Rio Pardo de Minas: 75 | 1 | 242.61 | 1.33%
Rio Piracicaba: 196 | 1 | 1,366.90 | 0.51%
Rio Pomba: 52 | 2 | 290.34 | 3.85%
Rio Preto: 4 | 0 | 73.05 | 0.00%
Rio Vermelho: 5 | 0 | 38.92 | 0.00%
Rio do Prado: 18 | 1 | 349.51 | 5.56%
Ritápolis: 7 | 0 | 152.04 | 0.00%
Rochedo de Minas: 3 | 1 | 130.15 | 33.33%
Rodeiro: 86 | 1 | 1,060.55 | 1.16%
Romaria: 10 | 0 | 283.05 | 0.00%
Rosário da Limeira: 25 | 0 | 544.19 | 0.00%
Rubelita: 4 | 0 | 66.72 | 0.00%
Rubim: 10 | 1 | 97.65 | 10.00%
Sabará: 1,062 | 44 | 778.91 | 4.14%
Sabinópolis: 19 | 0 | 122.82 | 0.00%
Sacramento: 402 | 9 | 1,535.23 | 2.24%
Salinas: 480 | 7 | 1,155.87 | 1.46%
Salto da Divisa: 24 | 1 | 342.42 | 4.17%
Santa Bárbara: 336 | 4 | 1,072.66 | 1.19%
Santa Bárbara do Leste: 42 | 1 | 515.53 | 2.38%
Santa Bárbara do Monte Verde: 2 | 0 | 63.49 | 0.00%
Santa Bárbara do Tugúrio: 5 | 0 | 112.87 | 0.00%
Santa Cruz de Minas: 57 | 4 | 662.48 | 7.02%
Santa Cruz de Salinas: 18 | 1 | 434.57 | 5.56%
Santa Cruz do Escalvado: 17 | 0 | 357.29 | 0.00%
Santa Efigênia de Minas: 15 | 3 | 340.21 | 20.00%
Santa Fé de Minas: 6 | 0 | 156.01 | 0.00%
Santa Helena de Minas: 37 | 1 | 581.21 | 2.70%
Santa Juliana: 457 | 12 | 3,263.59 | 2.63%
Santa Luzia: 1,618 | 69 | 738.36 | 4.26%
Santa Margarida: 116 | 2 | 715.70 | 1.72%
Santa Maria de Itabira: 43 | 1 | 396.42 | 2.33%
Santa Maria do Salto: 9 | 0 | 172.02 | 0.00%
Santa Maria do Suaçuí: 31 | 3 | 212.11 | 9.68%
Santa Rita de Caldas: 81 | 2 | 905.13 | 2.47%
Santa Rita de Ibitipoca: 1 | 0 | 29.20 | 0.00%
Santa Rita de Jacutinga: 13 | 1 | 266.18 | 7.69%
Santa Rita de Minas: 125 | 2 | 1,733.22 | 1.60%
Santa Rita do Itueto: 22 | 0 | 400.80 | 0.00%
Santa Rita do Sapucaí: 117 | 3 | 270.46 | 2.56%
Santa Rosa da Serra: 12 | 0 | 358.21 | 0.00%
Santa Vitória: 183 | 1 | 926.96 | 0.55%
Santana da Vargem: 25 | 0 | 352.11 | 0.00%
Santana de Cataguases: 27 | 0 | 697.31 | 0.00%
Santana de Pirapama: 5 | 0 | 65.43 | 0.00%
Santana do Deserto: 51 | 0 | 1,282.70 | 0.00%
Santana do Jacaré: 15 | 4 | 311.14 | 26.67%
Santana do Manhuaçu: 59 | 1 | 680.19 | 1.69%
Santana do Paraíso: 1,861 | 19 | 5,368.84 | 1.02%
Santana do Riacho: 16 | 0 | 372.53 | 0.00%
Santana dos Montes: 7 | 0 | 185.33 | 0.00%
Santo Antônio do Amparo: 90 | 1 | 485.83 | 1.11%
Santo Antônio do Aventureiro: 7 | 3 | 194.34 | 42.86%
Santo Antônio do Grama: 11 | 1 | 281.26 | 9.09%
Santo Antônio do Itambé: 13 | 0 | 338.72 | 0.00%
Santo Antônio do Jacinto: 155 | 4 | 1,331.62 | 2.58%
Santo Antônio do Monte: 230 | 4 | 814.36 | 1.74%
Santo Antônio do Retiro: 30 | 0 | 412.26 | 0.00%
Santo Antônio do Rio Abaixo: 16 | 0 | 906.52 | 0.00%
Santo Hipólito: 15 | 0 | 485.91 | 0.00%
Santos Dumont: 179 | 5 | 385.05 | 2.79%
Sapucaí-Mirim: 5 | 0 | 72.15 | 0.00%
Sardoá: 33 | 1 | 523.81 | 3.03%
Sarzedo: 334 | 9 | 1,019.79 | 2.69%
Sem-Peixe: 8 | 0 | 303.84 | 0.00%
Senador Amaral: 47 | 0 | 877.52 | 0.00%
Senador Cortes: 14 | 0 | 698.25 | 0.00%
Senador Firmino: 15 | 2 | 192.01 | 13.33%
Senador José Bento: 22 | 1 | 1,464.71 | 4.55%
Senador Modestino Gonçalves: 2 | 1 | 48.12 | 50.00%
Senhora de Oliveira: 5 | 0 | 86.42 | 0.00%
Senhora do Porto: 15 | 0 | 425.77 | 0.00%
Senhora dos Remédios: 23 | 0 | 219.91 | 0.00%
Sericita: 10 | 0 | 136.50 | 0.00%
Seritinga: 2 | 0 | 108.05 | 0.00%
Serra Azul de Minas: 1 | 0 | 23.29 | 0.00%
Serra da Saudade: 5 | 0 | 640.20 | 0.00%
Serra do Salitre: 132 | 2 | 1,139.70 | 1.52%
Serra dos Aimorés: 122 | 2 | 1,402.46 | 1.64%
Serrania: 20 | 0 | 260.79 | 0.00%
Serranos: 3 | 0 | 152.83 | 0.00%
Serranópolis de Minas: 14 | 0 | 292.83 | 0.00%
Serro: 129 | 2 | 615.28 | 1.55%
Sete Lagoas: 1,726 | 28 | 720.25 | 1.62%
Setubinha: 22 | 0 | 179.47 | 0.00%
Silveirânia: 5 | 0 | 221.14 | 0.00%
Silvianópolis: 20 | 2 | 320.62 | 10.00%
Simonésia: 68 | 1 | 346.36 | 1.47%
Simão Pereira: 9 | 0 | 344.17 | 0.00%
Sobrália: 25 | 2 | 450.21 | 8.00%
Soledade de Minas: 3 | 0 | 48.77 | 0.00%
São Bento Abade: 4 | 0 | 75.67 | 0.00%
São Brás do Suaçuí: 12 | 0 | 321.03 | 0.00%
São Domingos das Dores: 28 | 2 | 496.10 | 7.14%
São Domingos do Prata: 35 | 1 | 201.62 | 2.86%
São Francisco: 247 | 9 | 438.54 | 3.64%
São Francisco de Paula: 18 | 0 | 275.78 | 0.00%
São Francisco de Sales: 119 | 2 | 1,907.66 | 1.68%
São Francisco do Glória: 23 | 1 | 474.81 | 4.35%
São Félix de Minas: 46 | 0 | 1,365.39 | 0.00%
São Geraldo: 44 | 4 | 355.81 | 9.09%
São Geraldo da Piedade: 37 | 2 | 933.87 | 5.41%
São Geraldo do Baixio: 13 | 2 | 324.03 | 15.38%
São Gonçalo do Abaeté: 13 | 1 | 154.96 | 7.69%
São Gonçalo do Pará: 40 | 1 | 322.29 | 2.50%
São Gonçalo do Rio Abaixo: 144 | 3 | 1,318.68 | 2.08%
São Gonçalo do Rio Preto: 3 | 0 | 94.73 | 0.00%
São Gonçalo do Sapucaí: 60 | 3 | 235.77 | 5.00%
São Gotardo: 736 | 15 | 2,075.05 | 2.04%
São Joaquim de Bicas: 331 | 21 | 1,048.20 | 6.34%
São José da Barra: 33 | 0 | 444.38 | 0.00%
São José da Lapa: 301 | 8 | 1,266.52 | 2.66%
São José da Safira: 62 | 0 | 1,452.67 | 0.00%
São José da Varginha: 11 | 0 | 219.82 | 0.00%
São José do Alegre: 9 | 1 | 214.49 | 11.11%
São José do Divino: 43 | 0 | 1,113.99 | 0.00%
São José do Goiabal: 21 | 0 | 387.45 | 0.00%
São José do Jacuri: 1 | 0 | 15.50 | 0.00%
São José do Mantimento: 95 | 2 | 3,403.80 | 2.11%
São João Batista do Glória: 68 | 4 | 912.38 | 5.88%
São João Evangelista: 10 | 1 | 63.40 | 10.00%
São João Nepomuceno: 48 | 2 | 182.09 | 4.17%
São João da Lagoa: 20 | 0 | 406.92 | 0.00%
São João da Mata: 11 | 0 | 400.15 | 0.00%
São João da Ponte: 49 | 1 | 194.71 | 2.04%
São João das Missões: 17 | 0 | 130.63 | 0.00%
São João del Rei: 522 | 14 | 579.47 | 2.68%
São João do Manhuaçu: 58 | 4 | 501.77 | 6.90%
São João do Manteninha: 134 | 1 | 2,287.08 | 0.75%
São João do Oriente: 65 | 5 | 866.90 | 7.69%
São João do Paraíso: 114 | 1 | 482.68 | 0.88%
São Lourenço: 243 | 4 | 529.98 | 1.65%
São Miguel do Anta: 45 | 1 | 648.60 | 2.22%
São Pedro da União: 11 | 0 | 236.10 | 0.00%
São Pedro do Suaçuí: 8 | 1 | 152.50 | 12.50%
São Pedro dos Ferros: 8 | 0 | 102.81 | 0.00%
São Romão: 33 | 1 | 267.49 | 3.03%
São Roque de Minas: 21 | 0 | 297.83 | 0.00%
São Sebastião da Bela Vista: 57 | 1 | 1,035.61 | 1.75%
São Sebastião da Vargem Alegre: 23 | 0 | 764.88 | 0.00%
São Sebastião do Anta: 15 | 1 | 228.83 | 6.67%
São Sebastião do Maranhão: 8 | 0 | 79.65 | 0.00%
São Sebastião do Oeste: 100 | 1 | 1,476.01 | 1.00%
São Sebastião do Paraíso: 339 | 7 | 477.76 | 2.06%
São Sebastião do Rio Preto: 18 | 0 | 1,195.22 | 0.00%
São Sebastião do Rio Verde: 2 | 0 | 89.25 | 0.00%
São Tiago: 9 | 2 | 82.26 | 22.22%
São Tomás de Aquino: 23 | 1 | 327.59 | 4.35%
São Vicente de Minas: 16 | 0 | 206.37 | 0.00%
Tabuleiro: 11 | 1 | 293.33 | 9.09%
Taiobeiras: 198 | 4 | 580.10 | 2.02%
Taparuba: 10 | 0 | 321.54 | 0.00%
Tapira: 34 | 0 | 712.34 | 0.00%
Tapiraí: 4 | 0 | 213.33 | 0.00%
Taquaraçu de Minas: 35 | 2 | 858.47 | 5.71%
Tarumirim: 52 | 3 | 362.98 | 5.77%
Teixeiras: 25 | 0 | 214.39 | 0.00%
Teófilo Otoni: 2,088 | 76 | 1,485.15 | 3.64%
Timóteo: 1,518 | 64 | 1,689.63 | 4.22%
Tiradentes: 15 | 1 | 187.95 | 6.67%
Tiros: 19 | 0 | 293.21 | 0.00%
Tocantins: 121 | 2 | 726.33 | 1.65%
Tocos do Moji: 4 | 0 | 97.54 | 0.00%
Toledo: 109 | 5 | 1,741.77 | 4.59%
Tombos: 149 | 1 | 1,857.39 | 0.67%
Três Corações: 519 | 15 | 652.98 | 2.89%
Três Marias: 166 | 5 | 513.04 | 3.01%
Três Pontas: 287 | 6 | 505.76 | 2.09%
Tumiritinga: 28 | 0 | 415.92 | 0.00%
Tupaciguara: 439 | 9 | 1,733.33 | 2.05%
Turmalina: 41 | 1 | 205.37 | 2.44%
Turvolândia: 9 | 1 | 178.57 | 11.11%
Ubaporanga: 205 | 2 | 1,643.81 | 0.98%
Ubaí: 19 | 0 | 151.60 | 0.00%
Uberaba: 3,298 | 90 | 988.07 | 2.73%
Uberlândia: 20,259 | 396 | 2,930.54 | 1.95%
Ubá: 1,024 | 30 | 886.18 | 2.93%
Umburatiba: 6 | 0 | 229.80 | 0.00%
Unaí: 1,908 | 39 | 2,261.25 | 2.04%
União de Minas: 75 | 0 | 1,742.57 | 0.00%
Uruana de Minas: 2 | 0 | 61.27 | 0.00%
Urucuia: 29 | 2 | 171.95 | 6.90%
Urucânia: 145 | 1 | 1,399.88 | 0.69%
Vargem Alegre: 84 | 0 | 1,296.30 | 0.00%
Vargem Bonita: 3 | 0 | 139.34 | 0.00%
Vargem Grande do Rio Pardo: 14 | 0 | 279.61 | 0.00%
Varginha: 680 | 27 | 501.63 | 3.97%
Varjão de Minas: 13 | 1 | 184.76 | 7.69%
Varzelândia: 35 | 2 | 181.16 | 5.71%
Vazante: 455 | 1 | 2,209.81 | 0.22%
Verdelândia: 7 | 0 | 74.83 | 0.00%
Vermelho Novo: 4 | 0 | 82.66 | 0.00%
Veríssimo: 13 | 1 | 325.08 | 7.69%
Vespasiano: 1,107 | 24 | 867.55 | 2.17%
Vieiras: 5 | 0 | 138.58 | 0.00%
Virgem da Lapa: 18 | 0 | 130.89 | 0.00%
Virginópolis: 18 | 0 | 171.27 | 0.00%
Virgolândia: 16 | 1 | 297.40 | 6.25%
Virgínia: 35 | 0 | 403.50 | 0.00%
Visconde do Rio Branco: 520 | 12 | 1,221.69 | 2.31%
Viçosa: 280 | 1 | 355.12 | 0.36%
Volta Grande: 14 | 1 | 266.57 | 7.14%
Várzea da Palma: 141 | 5 | 357.03 | 3.55%
Wenceslau Braz: 30 | 0 | 1,175.55 | 0.00%
Água Boa: 3 | 0 | 21.84 | 0.00%
Água Comprida: 5 | 0 | 250.13 | 0.00%
Águas Formosas: 280 | 6 | 1,457.80 | 2.14%
Águas Vermelhas: 37 | 0 | 273.28 | 0.00%
